Suburb Name;source_url;type_of_property;sale_rent;backup water;back-up power;Size;Security;Price;name;Images;Image;garages;floor_size;erf_size;bedrooms;bathrooms
ATHLONE;https://www.property24.com/to-rent/athlone/cape-town/western-cape/8734/111131224;Apartment / Flat;Rent;NULL;NULL;NULL;NULL;R7 700;2 Bedroom Apartment / Flat to Rent in Athlone;NULL;https://images.prop24.com/281991852/Crop600x400;1.0;60 m²;NULL;2.0;2.0
ATHLONE;https://www.property24.com/to-rent/athlone/cape-town/western-cape/8734/107783973;Apartment / Flat;Rent;NULL;NULL;NULL;NULL;R7 500;2 Bedroom Apartment / Flat to Rent in Athlone;NULL;https://images.prop24.com/219692353/Crop600x400;1.0;NULL;NULL;2.0;1.0
CAMPS BAY / BAKOVEN;https://www.property24.com/for-sale/camps-bay/cape-town/western-cape/11014/113305908;Apartment / Flat;Sale;NULL;NULL;NULL;Totally Fenced, Electric Gate, Security Gate, Alarm System, 24 Hour Response, Intercom, Closed Circuit TV, 24 Hour Access, Guard House;R9 750 000 ;2 Bedroom Apartment / Flat for Sale in Camps Bay;https://images.prop24.com/314436906/Ensure1280x720|https://images.prop24.com/314436909/Ensure1280x720;https://images.prop24.com/314436906/Ensure1280x720;NULL;125 m²;NULL;2.0;3.0
CAMPS BAY / BAKOVEN;https://www.property24.com/for-sale/camps-bay/cape-town/western-cape/11014/112766681;Apartment / Flat;Sale;NULL;NULL;NULL;NULL;R9 950 000 ;3 Bedroom Apartment / Flat for Sale in Camps Bay;https://images.prop24.com/308536633/Ensure1280x720|https://images.prop24.com/308536634/Ensure1280x720;https://images.prop24.com/308536633/Ensure1280x720;2.0;NULL;NULL;3.0;3.0
CAMPS BAY / BAKOVEN;https://www.property24.com/for-sale/camps-bay/cape-town/western-cape/11014/108442440;Apartment / Flat;Sale;NULL;NULL;NULL;NULL;R25 000 000 ;4 Bedroom Apartment / Flat for Sale in Camps Bay;https://images.prop24.com/309227584/Ensure1280x720|https://images.prop24.com/309227586/Ensure1280x720;https://images.prop24.com/309227584/Ensure1280x720;2.0;403 m²;NULL;4.0;4.0
CAMPS BAY / BAKOVEN;https://www.property24.com/for-sale/camps-bay/cape-town/western-cape/11014/111405755;Apartment / Flat;Sale;NULL;NULL;57 m²;ELECTRIC FENCE AND NIGHT SECURITY.;R4 950 000 ;1 Bedroom Apartment / Flat for Sale in Camps Bay;https://images.prop24.com/286610831/Ensure1280x720|https://images.prop24.com/286610828/Ensure1280x720;https://images.prop24.com/286610831/Ensure1280x720;1.0;NULL;57 m²;1.0;1.0
CAMPS BAY / BAKOVEN;https://www.property24.com/for-sale/camps-bay/cape-town/western-cape/11014/110064384;Apartment / Flat;Sale;NULL;NULL;NULL;NULL;R33 925 000 ;3 Bedroom Apartment / Flat for Sale in Camps Bay;https://images.prop24.com/263028244/Ensure1280x720|https://images.prop24.com/263028238/Ensure1280x720;https://images.prop24.com/263028244/Ensure1280x720;NULL;295 m²;NULL;3.0;3.0
CAMPS BAY / BAKOVEN;https://www.property24.com/for-sale/camps-bay/cape-town/western-cape/11014/111295487;Apartment / Flat;Sale;NULL;NULL;NULL;1;R4 995 000 ;2 Bedroom Apartment / Flat for Sale in Camps Bay;NULL;NULL;1.0;84 m²;NULL;2.0;1.0
CAMPS BAY / BAKOVEN;https://www.property24.com/for-sale/camps-bay/cape-town/western-cape/11014/111988252;Apartment / Flat;Sale;NULL;NULL;NULL;1;POA;4 Bedroom Apartment / Flat for Sale in Camps Bay;https://images.prop24.com/295191424/Ensure1280x720|https://images.prop24.com/301295883/Ensure1280x720;https://images.prop24.com/295191424/Ensure1280x720;3.0;575 m²;575 m²;4.0;4.5
CAMPS BAY / BAKOVEN;https://www.property24.com/for-sale/camps-bay/cape-town/western-cape/11014/111988379;Apartment / Flat;Sale;NULL;NULL;NULL;Closed Circuit TV;R28 650 000 ;3 Bedroom Apartment / Flat for Sale in Camps Bay;https://images.prop24.com/295193653/Ensure1280x720|https://images.prop24.com/295191424/Ensure1280x720;https://images.prop24.com/295193653/Ensure1280x720;2.0;415 m²;415 m²;3.0;3.5
CAMPS BAY / BAKOVEN;https://www.property24.com/for-sale/camps-bay/cape-town/western-cape/11014/111988557;Apartment / Flat;Sale;Yes;Yes;NULL;Electric Gate, Intercom, Closed Circuit TV;R29 550 000 ;3 Bedroom Apartment / Flat for Sale in Camps Bay;https://images.prop24.com/295196846/Ensure1280x720|https://images.prop24.com/295191424/Ensure1280x720;https://images.prop24.com/295196846/Ensure1280x720;2.0;297 m²;297 m²;3.0;3.0
