source_url,type_of_property,Size,Security,Price,name,Images,Image,garages,floor_size,erf_size,bedrooms,bathrooms
https://www.property24.com/for-sale/fresnaye/cape-town/western-cape/11016/113340701,House,559 m²,,R 17 850 000,4 Bedroom House for Sale in Fresnaye,https://images.prop24.com/316150605/Ensure1280x720|https://images.prop24.com/316150606/Ensure1280x720,https://images.prop24.com/316150605/Ensure1280x720,2.0,,559 m²,4.0,4.5
https://www.property24.com/for-sale/fresnaye/cape-town/western-cape/11016/112936810,House,424 m²,,R 10 900 000,4 Bedroom House for Sale in Fresnaye,https://images.prop24.com/310981245/Ensure1280x720|https://images.prop24.com/310981197/Ensure1280x720,https://images.prop24.com/310981245/Ensure1280x720,2.0,170 m²,424 m²,4.0,3.0
https://www.property24.com/for-sale/fresnaye/cape-town/western-cape/11016/111821615,House,1 235 m²,,R 23 500 000,7 Bedroom House for Sale in Fresnaye,https://images.prop24.com/293287590/Ensure1280x720|https://images.prop24.com/293287591/Ensure1280x720,https://images.prop24.com/293287590/Ensure1280x720,6.0,,1 235 m²,7.0,5.0
https://www.property24.com/for-sale/fresnaye/cape-town/western-cape/11016/111973525,House,445 m²,Alarm System,R 13 995 000,5 Bedroom House for Sale in Fresnaye,https://images.prop24.com/294916025/Ensure1280x720|https://images.prop24.com/294916029/Ensure1280x720,https://images.prop24.com/294916025/Ensure1280x720,2.0,,445 m²,5.0,3.5
https://www.property24.com/for-sale/fresnaye/cape-town/western-cape/11016/112419296,House,1 380 m²,,R 160 000 000,5 Bedroom House for Sale in Fresnaye,https://images.prop24.com/302580347/Ensure1280x720|https://images.prop24.com/302580350/Ensure1280x720,https://images.prop24.com/302580347/Ensure1280x720,4.0,1000 m²,1 380 m²,5.0,4.0
https://www.property24.com/for-sale/fresnaye/cape-town/western-cape/11016/112574731,House,424 m²,,R 8 495 000,3 Bedroom House for Sale in Fresnaye,https://images.prop24.com/305206730/Ensure1280x720|https://images.prop24.com/305206756/Ensure1280x720,https://images.prop24.com/305206730/Ensure1280x720,2.0,140 m²,424 m²,3.0,3.0
https://www.property24.com/for-sale/fresnaye/cape-town/western-cape/11016/112529952,House,377 m²,,R 8 250 000,3 Bedroom House for Sale in Fresnaye,https://images.prop24.com/308811630/Ensure1280x720|https://images.prop24.com/308811629/Ensure1280x720,https://images.prop24.com/308811630/Ensure1280x720,2.0,,377 m²,3.0,2.0
https://www.property24.com/for-sale/fresnaye/cape-town/western-cape/11016/112442277,House,765 m²,,R 110 000 000,4 Bedroom House for Sale in Fresnaye,https://images.prop24.com/302977352/Ensure1280x720|https://images.prop24.com/302977351/Ensure1280x720,https://images.prop24.com/302977352/Ensure1280x720,2.0,1200 m²,765 m²,4.0,5.5
https://www.property24.com/for-sale/fresnaye/cape-town/western-cape/11016/111991183,House,396 m²,,R 10 500 000,3 Bedroom House for Sale in Fresnaye,https://images.prop24.com/311654439/Ensure1280x720|https://images.prop24.com/311654438/Ensure1280x720,https://images.prop24.com/311654439/Ensure1280x720,2.0,200 m²,396 m²,3.0,3.5
https://www.property24.com/for-sale/fresnaye/cape-town/western-cape/11016/112456246,House,504 m²,,R 9 750 000,4 Bedroom House for Sale in Fresnaye,https://images.prop24.com/303216399/Ensure1280x720|https://images.prop24.com/303216400/Ensure1280x720,https://images.prop24.com/303216399/Ensure1280x720,2.0,,504 m²,4.0,3.5
https://www.property24.com/for-sale/fresnaye/cape-town/western-cape/11016/111725337,House,1 155 m²,,R 33 000 000,4 Bedroom House for Sale in Fresnaye,https://images.prop24.com/293868418/Ensure1280x720|https://images.prop24.com/293868414/Ensure1280x720,https://images.prop24.com/293868418/Ensure1280x720,2.0,244 m²,1 155 m²,4.0,3.5
https://www.property24.com/for-sale/fresnaye/cape-town/western-cape/11016/112885825,House,559 m²,,R 8 750 000,4 Bedroom House for Sale in Fresnaye,https://images.prop24.com/310465649/Ensure1280x720|https://images.prop24.com/310465652/Ensure1280x720,https://images.prop24.com/310465649/Ensure1280x720,1.0,215 m²,559 m²,4.0,3.0
https://www.property24.com/for-sale/fresnaye/cape-town/western-cape/11016/112704713,House,753 m²,,R 32 500 000,5 Bedroom House for Sale in Fresnaye,https://images.prop24.com/307458335/Ensure1280x720|https://images.prop24.com/307458336/Ensure1280x720,https://images.prop24.com/307458335/Ensure1280x720,4.0,,753 m²,5.0,4.5
https://www.property24.com/for-sale/fresnaye/cape-town/western-cape/11016/112850780,House,230 m²,,R 7 750 000,2 Bedroom House for Sale in Fresnaye,https://images.prop24.com/301178233/Ensure1280x720|https://images.prop24.com/301178241/Ensure1280x720,https://images.prop24.com/301178233/Ensure1280x720,,190 m²,230 m²,2.0,2.0
