Suburb Name,TOTAL
ATHLONE,1196
ATLAS GARDENS BUSINESS PARK,1045
AVONDALE - PAROW,1285
BANTRY BAY,1006
BELGRAVIA -BELLVILLE,1509
BELLVILLE CBD,1509
BELLVILLE LANDFILL,1509
BELLVILLE SOUTH,397
BELLVILLE SOUTH INDUSTRIA,397
BELLVILLE TEACHERS COLLEGE,1509
BIG BAY,1349
BLOUBERG RISE,1349
BLOUBERG SANDS,1349
BLOUBERGRANT,1349
BO-KAAP,3155
BRACKENFELL CENTRAL,705
BRACKENFELL COMMON,705
BRACKENFELL INDUSTRIA,705
BRACKENFELL SOUTH,705
BRENTWOOD PARK - DURBANVILLE,1045
CAMPS BAY / BAKOVEN,149
CENTURY CITY,1532
CLAREMONT,868
CLIFTON,149
CLOVELLY,340
CONSTANTIA,516
DURBANVILLE,1045
DURBANVILLE HILLS,1045
DURBANVILLE MEADOWS,1045
EDGEMEAD,289
EIKENBOSCH KUILS RIVER,1276
FISH HOEK,340
FRESNAYE,1006
GARDENS,3155
GLENCAIRN,125
GOODWOOD EXT 1,934
GOODWOOD ESTATE,934
GREEN POINT,1006
HOUT BAY,465
KALK BAY,745
KENILWORTH,868
KILLARNEY GARDENS,1532
KOMMETJIE,362
KRAAIFONTEIN,2641
KRAAIFONTEIN EAST,2642
KRAAIFONTEIN INDUSTRIA,2643
KUILS RIVER COMMON,1276
KUILS RIVER SPORTS GROUNDS,1276
KUILSRIVIER GOLF COURSE,1276
KUILSRIVIER INDUSTRIA,1276
KUILSRIVIER SOUTH SMALLHOLDINGS,1276
LAKESIDE,745
LANSDOWNE,536
LLANDUDNO,465
MELKBOSCH STRAND,352
MILNERTON,1532
MILNERTON RIDGE,1532
MONTAGUE GARDENS,1532
MOUILLE POINT,1006
MOWBRAY,226
MUIZENBERG,745
NEWLANDS,868
NOORDHOEK,340
OBSERVATORY,952
OOSTERZEE-BELLVILLE,1509
ORANJEZICHT,3155
OTTERY,536
PANORAMA,1285
PARKLANDS,1349
PAROW,1285
PAROW EAST,1285
PAROW GOLF COURSE,1285
PAROW INDUSTRIA,1285
PAROW NORTH,1285
PAROW VALLEY,1285
PINELANDS,400
PLATTEKLOOF 1,1285
PLATTEKLOOF 2,1285
PLATTEKLOOF 3,1285
PLATTEKLOOF GLEN,1285
PLUMSTEAD,801
RONDEBOSCH,323
RONDEBOSCH EAST,323
ROSEBANK,226
ROSEDALE - DURBANVILLE,1623
SCARBOROUGH,125
SEA POINT,1006
SIMON'S TOWN,125
ST JAMES,745
STELLENBOSCH FARMS (KUILSRIVIER),1276
SUNSET BEACH,1532
TABLE VIEW,1349
TAMBOERSKLOOF,3155
TOKAI,377
TYGERVALLEY WATERFRONT,1509
VREDELUST BELLVILLE,1509
VREDELUST KUILS RIVER,1276
VREDENBERG - BELLVILLE,1509
WOODSTOCK,952
WYNBERG,765
WYNBERG NU,765
