Suburb Name;source_url;type_of_property;sale_rent;backup water;back-up power;Size;Security;Price;name;Images;Image;garages;floor_size;erf_size;bedrooms;bathrooms
FRESNAYE;https://www.property24.com/for-sale/fresnaye/cape-town/western-cape/11016/113340701;House;Sale;;;559 m²;;R17 850 000 ;4 Bedroom House for Sale in Fresnaye;https://images.prop24.com/316150605/Ensure1280x720|https://images.prop24.com/316150606/Ensure1280x720;https://images.prop24.com/316150605/Ensure1280x720;2.0;;559 m²;4.0;4.5
FRESNAYE;https://www.property24.com/for-sale/fresnaye/cape-town/western-cape/11016/112936810;House;Sale;;;424 m²;;R10 900 000 ;4 Bedroom House for Sale in Fresnaye;https://images.prop24.com/310981245/Ensure1280x720|https://images.prop24.com/310981197/Ensure1280x720;https://images.prop24.com/310981245/Ensure1280x720;2.0;170 m²;424 m²;4.0;3.0
FRESNAYE;https://www.property24.com/for-sale/fresnaye/cape-town/western-cape/11016/111821615;House;Sale;;;1 235 m²;;R23 500 000 ;7 Bedroom House for Sale in Fresnaye;https://images.prop24.com/293287590/Ensure1280x720|https://images.prop24.com/293287591/Ensure1280x720;https://images.prop24.com/293287590/Ensure1280x720;6.0;;1 235 m²;7.0;5.0
FRESNAYE;https://www.property24.com/for-sale/fresnaye/cape-town/western-cape/11016/111973525;House;Sale;;;445 m²;Alarm System;R13 995 000 ;5 Bedroom House for Sale in Fresnaye;https://images.prop24.com/294916025/Ensure1280x720|https://images.prop24.com/294916029/Ensure1280x720;https://images.prop24.com/294916025/Ensure1280x720;2.0;;445 m²;5.0;3.5
FRESNAYE;https://www.property24.com/for-sale/fresnaye/cape-town/western-cape/11016/112419296;House;Sale;;;1 380 m²;;R160 000 000 ;5 Bedroom House for Sale in Fresnaye;https://images.prop24.com/302580347/Ensure1280x720|https://images.prop24.com/302580350/Ensure1280x720;https://images.prop24.com/302580347/Ensure1280x720;4.0;1000 m²;1 380 m²;5.0;4.0
FRESNAYE;https://www.property24.com/for-sale/fresnaye/cape-town/western-cape/11016/112574731;House;Sale;;;424 m²;;R8 495 000 ;3 Bedroom House for Sale in Fresnaye;https://images.prop24.com/305206730/Ensure1280x720|https://images.prop24.com/305206756/Ensure1280x720;https://images.prop24.com/305206730/Ensure1280x720;2.0;140 m²;424 m²;3.0;3.0
FRESNAYE;https://www.property24.com/for-sale/fresnaye/cape-town/western-cape/11016/112529952;House;Sale;;;377 m²;;R8 250 000 ;3 Bedroom House for Sale in Fresnaye;https://images.prop24.com/308811630/Ensure1280x720|https://images.prop24.com/308811629/Ensure1280x720;https://images.prop24.com/308811630/Ensure1280x720;2.0;;377 m²;3.0;2.0
FRESNAYE;https://www.property24.com/for-sale/fresnaye/cape-town/western-cape/11016/112442277;House;Sale;;;765 m²;;R110 000 000 ;4 Bedroom House for Sale in Fresnaye;https://images.prop24.com/302977352/Ensure1280x720|https://images.prop24.com/302977351/Ensure1280x720;https://images.prop24.com/302977352/Ensure1280x720;2.0;1200 m²;765 m²;4.0;5.5
FRESNAYE;https://www.property24.com/for-sale/fresnaye/cape-town/western-cape/11016/111991183;House;Sale;;;396 m²;;R10 500 000 ;3 Bedroom House for Sale in Fresnaye;https://images.prop24.com/311654439/Ensure1280x720|https://images.prop24.com/311654438/Ensure1280x720;https://images.prop24.com/311654439/Ensure1280x720;2.0;200 m²;396 m²;3.0;3.5
FRESNAYE;https://www.property24.com/for-sale/fresnaye/cape-town/western-cape/11016/112456246;House;Sale;;;504 m²;;R9 750 000 ;4 Bedroom House for Sale in Fresnaye;https://images.prop24.com/303216399/Ensure1280x720|https://images.prop24.com/303216400/Ensure1280x720;https://images.prop24.com/303216399/Ensure1280x720;2.0;;504 m²;4.0;3.5
